Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0.625	0.0672	-0.011
0.626	0.0672	0.000
0.627	0.0672	0.012
0.628	0.0672	0.026
0.629	0.0672	0.037
0.63	0.0672	0.043
0.631	0.0597	0.043
0.632	0.0447	0.038
0.633	0.0447	0.033
0.634	0.0447	0.027
0.635	0.0447	0.023
0.636	0.0447	0.022
0.637	0.0447	0.018
0.638	0.0447	0.009
0.639	0.0447	0.002
0.64	0.0447	-0.001
0.641	0.0447	0.002
0.642	0.0447	0.005
0.643	0.0447	0.008
0.644	0.0447	0.012
0.645	0.0446	0.015
0.646	0.0444	0.013
0.647	0.0444	0.011
0.648	0.0444	0.008
0.649	0.0444	0.001
0.65	0.0444	-0.006
0.651	0.0444	-0.013
0.652	0.0444	-0.020
0.653	0.0444	-0.026
0.654	0.0444	-0.028
0.655	0.0444	-0.029
0.656	0.0444	-0.029
0.657	0.0444	-0.023
0.658	0.0444	-0.018
0.659	0.0444	-0.011
0.66	0.0444	-0.003
0.661	0.0444	0.003
0.662	0.0444	0.008
0.663	0.0420	0.011
0.664	0.0372	0.009
0.665	0.0372	0.006
0.666	0.0372	0.001
0.667	0.0372	-0.005
0.668	0.0372	-0.011
0.669	0.0372	-0.017
0.67	0.0372	-0.022
0.671	0.0372	-0.025
0.672	0.0372	-0.024
0.673	0.0372	-0.022
0.674	0.0372	-0.017
0.675	0.0372	-0.010
0.676	0.0372	-0.003
0.677	0.0372	0.002
0.678	0.0372	0.007
0.679	0.0372	0.012
0.68	0.0372	0.013
0.681	0.0372	0.012
0.682	0.0372	0.006
0.683	0.0372	0.000
0.684	0.0372	-0.006
0.685	0.0372	-0.013
0.686	0.0372	-0.018
0.687	0.0372	-0.023
0.688	0.0372	-0.024
0.689	0.0372	-0.024
0.69	0.0372	-0.019
0.691	0.0372	-0.013
0.692	0.0372	-0.007
0.693	0.0372	-0.001
0.694	0.0372	0.005
0.695	0.0372	0.009
0.696	0.0372	0.012
0.697	0.0373	0.013
0.698	0.0375	0.009
0.699	0.0375	0.003
0.7	0.0375	-0.003
0.701	0.0375	-0.011
0.702	0.0375	-0.016
0.703	0.0375	-0.020
0.704	0.0375	-0.024
0.705	0.0375	-0.025
0.706	0.0375	-0.024
0.707	0.0375	-0.020
0.708	0.0375	-0.015
0.709	0.0375	-0.007
0.71	0.0375	-0.001
0.711	0.0375	0.004
0.712	0.0375	0.010
0.713	0.0371	0.011
0.714	0.0362	0.010
0.715	0.0362	0.007
0.716	0.0362	-0.000
0.717	0.0362	-0.006
0.718	0.0362	-0.013
0.719	0.0362	-0.018
0.72	0.0362	-0.022
0.721	0.0362	-0.024
0.722	0.0362	-0.025
0.723	0.0362	-0.023
0.724	0.0362	-0.016
0.725	0.0362	-0.012
0.726	0.0362	-0.004
0.727	0.0362	0.001
0.728	0.0362	0.005
0.729	0.0362	0.009
0.73	0.0381	0.009
0.731	0.0419	0.008
