Time,Channel 1,Channel 2,Channel 3
0.429,59.06,0.6103,-0.292
0.43,50.63,0.6103,-0.201
0.431,57.50,0.6103,-0.191
0.432,131.72,0.6103,-0.086
0.433,108.44,0.6103,0.072
0.434,51.72,0.6103,0.131
0.435,65.16,0.6103,0.176
0.436,28.75,0.5936,0.261
0.437,-32.03,0.5603,0.233
0.438,-17.97,0.5603,0.197
0.439,-54.06,0.5603,0.198
0.44,-127.34,0.5603,0.089
0.441,-82.34,0.5603,-0.057
0.442,-71.41,0.5603,-0.076
0.443,-111.72,0.5603,-0.200
0.444,-29.53,0.5603,-0.299
0.445,28.28,0.5603,-0.259
0.446,26.87,0.5603,-0.243
0.447,81.56,0.5603,-0.205
0.448,109.53,0.5603,-0.080
0.449,69.06,0.5603,0.014
0.45,83.44,0.5603,0.058
0.451,97.19,0.5603,0.181
0.452,12.81,0.3891,0.253
0.453,5.00,0.0466,0.206
0.454,19.06,0.2116,0.263
0.455,-60.31,0.5416,0.244
0.456,-81.25,0.5416,0.142
0.457,-77.81,0.5416,0.082
0.458,-130.16,0.5416,-0.013
0.459,-99.53,0.5416,-0.178
0.46,-34.84,0.5416,-0.212
0.461,-33.12,0.5416,-0.248
0.462,12.34,0.5416,-0.279
0.463,82.03,0.5416,-0.223
0.464,73.91,0.5416,-0.115
0.465,83.44,0.5416,-0.076
0.466,115.00,0.5416,0.052
0.467,64.22,0.5416,0.154
0.468,32.81,0.5416,0.181
0.469,62.81,0.5416,0.220
0.47,18.59,0.5660,0.306
0.471,-62.81,0.6150,0.257
0.472,-42.03,0.6150,0.181
0.473,-93.12,0.6150,0.173
0.474,-150.16,0.6150,-0.006
0.475,-66.56,0.6150,-0.127
0.476,-57.34,0.6150,-0.139
0.477,-85.00,0.6150,-0.242
0.478,6.56,0.6150,-0.309
0.479,62.81,0.6150,-0.229
0.48,32.97,0.6150,-0.183
0.481,91.41,0.6150,-0.163
0.482,117.03,0.6150,-0.000
0.483,46.87,0.6150,0.071
0.484,80.62,0.6150,0.093
0.485,88.59,0.6150,0.233
0.486,-11.88,0.4306,0.271
0.487,-4.53,0.0619,0.209
0.488,2.19,0.2383,0.262
0.489,-101.88,0.5913,0.213
0.49,-120.16,0.5913,0.058
0.491,-82.03,0.5913,-0.027
0.492,-102.66,0.5913,-0.106
0.493,-86.56,0.5913,-0.233
0.494,-19.53,0.5913,-0.279
0.495,-25.16,0.5913,-0.272
0.496,26.09,0.5913,-0.330
0.497,132.50,0.5913,-0.219
0.498,95.78,0.5913,-0.065
0.499,66.09,0.5913,-0.028
0.5,116.09,0.5913,0.068
0.501,70.94,0.5913,0.204
0.502,18.28,0.5913,0.209
0.503,43.91,0.5913,0.241
0.504,-15.62,0.6067,0.297
0.505,-84.22,0.6375,0.210
0.506,-62.19,0.6375,0.129
0.507,-97.81,0.6375,0.085
0.508,-126.25,0.6375,-0.067
0.509,-68.28,0.6375,-0.167
0.51,-71.56,0.6375,-0.203
0.511,-68.44,0.6375,-0.310
0.512,36.41,0.6375,-0.340
0.513,79.38,0.6375,-0.238
0.514,62.50,0.6375,-0.182
0.515,119.69,0.6375,-0.113
0.516,117.34,0.6375,0.058
0.517,51.88,0.6375,0.122
0.518,73.12,0.6375,0.162
0.519,48.44,0.6184,0.268
0.52,-39.53,0.5803,0.258
0.521,-36.41,0.5803,0.189
0.522,-22.19,0.5803,0.186
0.523,-102.34,0.5803,0.145
0.524,-107.97,0.5803,-0.019
0.525,-57.97,0.5803,-0.071
0.526,-109.22,0.5803,-0.135
0.527,-88.44,0.5803,-0.289
0.528,4.69,0.5803,-0.312
0.529,32.19,0.5803,-0.280
0.53,63.91,0.5803,-0.248
0.531,112.81,0.5803,-0.152
0.532,94.53,0.5803,-0.022
0.533,65.31,0.5803,0.037
0.534,91.87,0.5803,0.109
0.535,51.25,0.5803,0.221
0.536,-3.75,0.5803,0.211
0.537,21.56,0.5803,0.213
0.538,-26.88,0.5568,0.254
0.539,-104.38,0.5097,0.159
0.54,-86.41,0.5097,0.046
0.541,-95.47,0.5097,-0.013
0.542,-120.94,0.5097,-0.145
0.543,-48.44,0.5097,-0.255
0.544,-27.34,0.5035,-0.242
0.545,-34.06,0.4913,-0.310
0.546,70.31,0.4913,-0.310
0.547,100.00,0.4913,-0.169
0.548,58.59,0.4913,-0.110
0.549,116.41,0.4913,-0.052
0.55,107.50,0.4913,0.123
0.551,29.22,0.4913,0.163
0.552,53.12,0.4913,0.181
0.553,42.19,0.5171,0.269
0.554,-47.34,0.5688,0.265
0.555,-50.16,0.5688,0.174
0.556,-65.00,0.5688,0.165
0.557,-141.41,0.5688,0.044
0.558,-100.62,0.5688,-0.118
0.559,-45.47,0.5688,-0.157
0.56,-71.41,0.5688,-0.209
