Time,Group,Intracellular_Calcium
0.64,ank,1.2392857142857143
0.64,ctrl,0.9861428571428572
0.644,ank,1.2348571428571429
0.644,ctrl,0.9811428571428572
0.648,ank,1.23
0.648,ctrl,0.981
0.652,ank,1.2287142857142859
0.652,ctrl,0.9781428571428571
0.656,ank,1.223142857142857
0.656,ctrl,0.9757142857142858
0.66,ank,1.218142857142857
0.66,ctrl,0.9758571428571428
0.664,ank,1.2154285714285713
0.664,ctrl,0.9705714285714285
0.668,ank,1.211285714285714
0.668,ctrl,0.9707142857142858
0.672,ank,1.2088571428571429
0.672,ctrl,0.9674285714285714
0.676,ank,1.2054285714285715
0.676,ctrl,0.969
0.68,ank,1.2025714285714284
0.68,ctrl,0.9639999999999999
0.684,ank,1.198
0.684,ctrl,0.9621428571428571
0.688,ank,1.1968571428571428
0.688,ctrl,0.9592857142857143
0.692,ank,1.1912857142857143
0.692,ctrl,0.9588571428571429
0.696,ank,1.1894285714285715
0.696,ctrl,0.957
0.7,ank,1.1868571428571428
0.7,ctrl,0.9547142857142857
0.704,ank,1.18
0.704,ctrl,0.9492857142857142
0.708,ank,1.1785714285714286
0.708,ctrl,0.9500000000000001
0.712,ank,1.1767142857142858
0.712,ctrl,0.9468571428571428
0.716,ank,1.1755714285714285
0.716,ctrl,0.9445714285714286
0.72,ank,1.169857142857143
0.72,ctrl,0.9435714285714286
0.724,ank,1.1634285714285715
0.724,ctrl,0.9420000000000001
0.728,ank,1.1667142857142856
0.728,ctrl,0.9391428571428572
0.732,ank,1.1635714285714285
0.732,ctrl,0.938
0.736,ank,1.1565714285714286
0.736,ctrl,0.9344285714285715
0.74,ank,1.1565714285714286
0.74,ctrl,0.9339999999999999
0.744,ank,1.1560000000000001
0.744,ctrl,0.9331428571428572
0.748,ank,1.153857142857143
0.748,ctrl,0.9311428571428572
0.752,ank,1.1472857142857145
0.752,ctrl,0.9297142857142857
0.756,ank,1.1421428571428571
0.756,ctrl,0.9277142857142857
0.76,ank,1.1445714285714286
0.76,ctrl,0.9252857142857144
0.764,ank,1.1405714285714286
0.764,ctrl,0.923
0.768,ank,1.1404285714285716
0.768,ctrl,0.9217142857142857
0.772,ank,1.1371428571428572
0.772,ctrl,0.9174285714285714
0.776,ank,1.1362857142857143
0.776,ctrl,0.9182857142857143
0.78,ank,1.1334285714285715
0.78,ctrl,0.9154285714285714
0.784,ank,1.1302857142857143
0.784,ctrl,0.9145714285714286
0.788,ank,1.1301428571428571
0.788,ctrl,0.91
0.792,ank,1.127
0.792,ctrl,0.9107142857142857
0.796,ank,1.1245714285714286
0.796,ctrl,0.9094285714285714
0.8,ank,1.1198571428571429
0.8,ctrl,0.9091428571428571
0.804,ank,1.1171428571428572
0.804,ctrl,0.9065714285714286
0.808,ank,1.1194285714285714
0.808,ctrl,0.9044285714285714
0.812,ank,1.1151428571428572
0.812,ctrl,0.9027142857142857
0.816,ank,1.114
0.816,ctrl,0.9015714285714286
0.82,ank,1.1112857142857142
0.82,ctrl,0.9002857142857142
0.824,ank,1.1114285714285714
0.824,ctrl,0.8984285714285714
0.828,ank,1.1095714285714284
0.828,ctrl,0.8974285714285715
0.832,ank,1.1074285714285714
0.832,ctrl,0.8938571428571428
0.836,ank,1.1025714285714285
0.836,ctrl,0.8944285714285715
0.84,ank,1.0995714285714286
0.84,ctrl,0.8934285714285713
0.844,ank,1.1002857142857143
0.844,ctrl,0.8904285714285713
0.848,ank,1.1002857142857143
0.848,ctrl,0.889
0.852,ank,1.1
0.852,ctrl,0.8884285714285713
0.856,ank,1.096142857142857
0.856,ctrl,0.8861428571428572
0.86,ank,1.0938571428571429
0.86,ctrl,0.8852857142857143
0.864,ank,1.089
0.864,ctrl,0.8848571428571429
0.868,ank,1.0872857142857142
0.868,ctrl,0.8819999999999999
0.872,ank,1.0894285714285714
0.872,ctrl,0.8831428571428572
0.876,ank,1.0905714285714285
0.876,ctrl,0.8807142857142857
0.88,ank,1.0874285714285714
0.88,ctrl,0.8798571428571428
0.884,ank,1.085
0.884,ctrl,0.8768571428571429
0.888,ank,1.0818571428571429
0.888,ctrl,0.8765714285714286
0.892,ank,1.0798571428571428
0.892,ctrl,0.8747142857142858
0.896,ank,1.0805714285714285
0.896,ctrl,0.8745714285714286
0.9,ank,1.0794285714285714
0.9,ctrl,0.8725714285714286
0.904,ank,1.0791428571428572
0.904,ctrl,0.873
0.908,ank,1.0751428571428572
0.908,ctrl,0.8714285714285713
0.912,ank,1.076142857142857
0.912,ctrl,0.8687142857142858
0.916,ank,1.070857142857143
0.916,ctrl,0.8698571428571429
0.92,ank,1.0694285714285714
0.92,ctrl,0.8678571428571429
0.924,ank,1.0702857142857143
0.924,ctrl,0.8654285714285714
0.928,ank,1.0714285714285714
0.928,ctrl,0.863857142857143
0.932,ank,1.0694285714285714
0.932,ctrl,0.8630000000000001
0.936,ank,1.0651428571428572
0.936,ctrl,0.8624285714285714
0.94,ank,1.066142857142857
0.94,ctrl,0.8615714285714287
0.944,ank,1.065
0.944,ctrl,0.861
0.948,ank,1.062
0.948,ctrl,0.8601428571428571
